ID,Date,Time,Location,Operator,Flight,Route,Type,Registration,CN_IN,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
11,10/17/1958,Not Available,"NEAR KANASH, RUSSIA",AEROFLOT,Not Available,PEKING - MOSCOW,TUPOLEV TU-104A,CCCP-42362,Not Available,80,80,0,0,0,"The plane was on a flight from Peking to Moscow at FL330 when it went out of control. The aircraft experienced extreme turbulence during a climb, stalled and plunged to earth and burned. The captain described everything as it happened as he attempted to recover from the uncontrolled descent, ending the radio transmission with a farewell.",High Fatality
12,2/3/1959,23:56,"LA GUARDIA AIRPORT, NEW YORK, NY",AMERICAN AIRLINES,320,CHICAGO - NEW YORK CITY,LOCKHEED  188A ELECTRA,N6101A,1015,73,65,0,8,0.11,"While attempting to land in rain and fog at La Guardia Airport, the aircraft descended below the minimum altitude and crashed into the East River. The aircraft struck the water while in shallow descent at 150 mph with its landing gear and flaps extended. Primarily the crash resulted from the failure of the crew to properly monitor essential instruments for determining attitude due to preoccupation with particular aspects of the aircraft and its environment. Limited experience of the crew with this particular type of aircraft. Erroneous setting of the captain's altimeter. Possibly misinterpretation of the altimeter and rate of descent indicator.",High Fatality
13,9/19/1960,6:02,"AGANA, GUAM, MARIANA ISLANDS",WORLD AIRWAYS,830/18,GUAM - WAKE ISLAND,DOUGLAS DC-6AB,N90779,44914/646,94,80,0,14,0.149,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft.",High Fatality
14,5/10/1961,2:30,"STAH, ALGERIA",AIR FRANCE,406,"FORT LAMY, CHAD - MARSEILLES, FRANCE",LOCKHEED 1649A STARLINER,F-BHBM,1027,78,78,0,0,0,"While en route from Fort Lamy, Chad to Marseilles, France, the airliner crashed and burned in the Sahara Desert on the Algeria / Libya border. Detonation of a nitrocellulose bomb.",High Fatality
15,12/16/1960,10:33,"STATEN ISLAND / BROOKLYN, NEW YORK",UNITED AIR LINES / TRANS WORLD AIRLINES,826/266,CHICAGO - NEW YORK CITY / COLUMBUS - NEW YORK CITY,MD DC-8-11 / LOCKHEED  1049 S CONST,N8013U/N6907C,45290 /4021,128,128,6,0,0,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.",High Fatality
16,1/19/1961,20:25,"NEW YORK, NEW YORK (IDLEWILD)",AERONAVES DE MEXICO,401,NEW YORK - MEXICO CITY,MCDONNELL DOUGLAS DC-8-21,XA-XAX,45432/105,106,4,0,102,0.962,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on.",Low Fatality
17,2/15/1961,10:05,"NEAR BRUSSELS, BELGIUM",SABENA,548,NEW YORK CITY - BRUSSELS,BOEING B-707-320,OO-SJB,17624/92,72,72,1,0,0,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers.",High Fatality
18,7/11/1961,11:36,"DENVER, COLORADO",UNITED AIR LINES,859,OMAHA - DENVER,MCDONNELL DOUGLAS DC-8-12,N8040U,45307,122,17,1,105,0.861,"Following takeoff from Omaha, hydraulidifficulties were experienced. The flight was continued to Denver where the aircraft experienced asymmetrical reverse thrust while landing and crashed into a maintenance truck and burned. Asymmetrical thrust during the landing attempt due to a hydrauliemergency.  Numbers 1 & 2 thrust reversers failed.  The crew failed to activate the back-up high-pressure air bottle used to hold the reverse ejectors in the extended position during a hydrauliemergency.  Poor evacuation procedures.  A contributing factor was the  failure of the first officer to monitor the thrust reverse indicator lights when applying reverse thrust and the crew's lack of training and knowledge on the aircraft's hydraulisystem. The driver of the maintenance truck was killed.",Low Fatality
19,7/12/1961,1:29,"CASABLANCA, MOROCCO",CESKOSLOVENSKE AEROLINIE,Not Available,ZURICH - RABAT,ILYUSHIN IL-18B,OK-PAF,181002904,72,72,0,0,0,"On reaching Rabat, the plane was diverted to Casablanca because of poor ground visibility. Conditions at Casablanca were a little better but the plane overshot the runway on its first approach. With worsening conditions the pilot asked to land at the U.S. Air Force base at Nouasseur. While the tower was seeking permission, the pilot saw a window of opportunity and tried again to land at Casablanca. The aircraft crashed into a hillside and burned eight miles short of the runway.",High Fatality
20,9/1/1961,2:05,"NEAR HINSDALE, ILLINOIS",TRANS WORLD AIRLINES,529,CHICAGO - LAS VEGAS,LOCKHEED 049 CONSTELLATION,N86511,2035,78,78,0,0,0,The aircraft crashed and burned in a field 10 miles west of Midway Airport. The airliner had taken off from Midway headed for Las Vegas. Loss of a 5/16 inch steel bolt from the elevator boost system which caused the elevator to move to its full upward position creating a stall and loss of control of the aircraft.,High Fatality
21,9/10/1961,3:55,"SHANNON, IRELAND",PRESIDENT AIRLINES,Not Available,SHANNON - GANDER,DOUGLAS DC-6B,N90773,44058/365,83,83,0,0,0,The aircraft crashed into the Shannon River shortly after taking off in fog. Possible fault with the artificial horizon or aircraft's aileron tabs. Contributing factor was the weather and crew fatigue.,High Fatality
22,9/12/1961,22:09,"NEAR RABAT, MORROCCO",AIR FRANCE,2005,PARIS - RABAT,SUD-AVIATION CARAVELLE III,F-BJTB,68,77,77,0,0,0,"The aircraft crashed and burned while attempting to land at Sale Airport. With its landing gear down and flaps partially extended, the plane struck the ground in a slight nose-down attitude. Possible misread altimeter.",High Fatality
23,11/8/1961,21:24,"NEAR RICHMOND, VIRGINIA",IMPERIAL AIRWAYS,201/8,BALTIMORE - COLUMBIA SC,LOCKHEED C-69 CONSTELLATION,N2737A,1976,79,77,0,2,0.025,"Flown under a military contract, several procedural errors by the crew caused the loss of 2 engines. After several more errors, the aircraft crashed into a wooded area. Most deaths from post-impact fire and CO.  Lack of command coordination and decision, faulty judgement and insufficient knowledge that led to an emergency situation. In addition there were faulty maintenance procedures. The carrier's license was revoked 6 weeks after the crash.",High Fatality
24,3/1/1962,10:09,"JAMAICA BAY, NEW YORK, NEW YORK",AMERICAN AIRLINES,1,NEW YORK CITY - LOS ANGELES,BOEING B-707-123B,N7506A,17633/12,95,95,0,0,0,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft.",High Fatality
25,3/4/1962,18:20,"DOUALA, CAMEROON",CALEDONIAN AIRWAYS,153,DOUALA - LISBOA,DOUGLAS DC-7C,G-ARUD,45160/754,111,111,0,0,0,The aircraft had a unusually long take-off run and appeared to gain altitude with difficulty. One and one-half miles from the runway the aircraft struck trees and crashed into a tidal swamp and burst into flames.  A jammed right elevator spring tab caused the crew to lose of control of the aircraft.,High Fatality
26,3/15/1962,0:30,"WESTERN PACIFIOCEAN, PHILIPPINE SEA",FLYING TIGER LINE,739/14,"TRAVIS AFB - HONOLULU - AGANA, GUAM - CLARK AFB -SAIGON",LOCKHEED 1049H SUPER CONSTELLATION,N6921C,4817,107,107,0,0,0,"Lost at sea while en route from Guam to the Philippines. The crew of the SS T.L. Lenzen supertanker sighted a midair explosion at 00:30 local time, from their position at 13 degrees 44' N, 134 degrees 49' E.  The subsequent search of over 144,000 square miles found nothing. Cause undetermined.",High Fatality
27,6/3/1962,12:35,"VILLENEUVE-LE-ROI, VAL-DE-MARNE, FRANCE",AIR FRANCE,Not Available,PARIS - NEW YORK CITY,BOEING B-707-328,F-BHSM,17920/159,132,130,0,2,0.015,"During takeoff from Orly Airport, the nose rose for about 5 seconds and then dropped back down on the runway. Smoke streamed from the wheels as the crew tried to stop the aircraft but it ran off the runway and collided with the runway lights and a house. The only survivors were two stewardesses who were seated in the tail section which broke free in the crash. The aircraft's horizontal stabilizer was improperly trimmed due to a failure of the trim servo motor.",High Fatality
28,6/22/1962,4:01,"BASSE-TERRE, GUADALOUPE, WEST INDIES",AIR FRANCE,117,PARIS - POINTE-A PITRE - SANTAIGO,BOEING B-707-328,F-BHST,18247/274,112,112,0,0,0,"The aircraft crashed into a 1,400 ft. hill while on approach, 15 miles from the runway threshold. Nonfunctioning VOR station. Insufficient meteorological information given to the flight crew. Malfunctioning automatidirection finder due to the effects of poor atmosphericonditions. The aircraft was named Chateau de Chantilly.",High Fatality
29,6/28/1962,Not Available,"NEAR ADLER, RUSSIA",AEROFLOT,Not Available,LVOV - SOCHI,ANTONOV AN-10A,CCCP11186,Not Available,81,81,0,0,0,The plane crashed into a mountain during an approach to Adler Airport. The accident was caused by a change in approach patterns to the airport on the part of controllers without approval from aviation authorities.  Lack of training by the carrier for flights into mountainous regions.,High Fatality
30,6/30/1962,Not Available,"NEAR KRASNOYARSK, USSR",AEROFLOT,Not Available,NOT AVAILABLE,TUPOLEV TU-104A,CCCP-42370,86601301,84,84,0,0,0,The aircraft went into an uncontrollable dive from FL 290.,High Fatality
31,7/7/1962,23:59,"NEAR JUNNAR, MAHARASHTRA, INDIA",ALITALIA,771,BANGKOK - BOMBAY,MCDONNELL DOUGLAS DC-8-43,I-DIWD,45631/160,94,94,0,0,0,"The aircraft crashed into a hill near Bombay, India, at an elevation of 3,600 ft. 50 miles ENE of the airport. Navigational error.  Premature descent. Crew did not use navigational facilities available.",High Fatality
32,7/28/1962,Not Available,"SOCHI, RUSSIA",AEROFLOT,Not Available,NOT AVAILABLE,ANTONOV AN-10A,CCCP-11186,402003,81,81,0,0,0,"Struck a mountain while attempting to land. Changes in the approach patterns for Sochi Airport, not approved by the State aviation authorities and without informing the flight crews about it.  Inadequacies of flight control and crew training in the Sochi area and training for flights in mountainous regions in general.",High Fatality
33,8/20/1962,22:08,"RIO DE JANERIO, BRAZIL",PANAIR DO BRAZIL,Not Available,RIO DE JANEIRO - LISBON,MCDONNELL DOUGLAS DC-8-33,PP-PDT,45273/121,105,15,0,90,0.857,Rejected takeoff. Overran runway into the sea. Incorrect stabilizer setting. Stablizer setting changed from nose-up to nose-down position. Delayed decision to abort takeoff.,Low Fatality
34,9/2/1962,Not Available,"NEAR KHABAROVSK, USSR",AEROFLOT,Not Available,KHABAROVK - PETROPAVLOVSK,TUPOLEV TU-104A,CCCP-42366,86601103,86,86,0,0,0,The airliner crashed and burned 10 minutes after taking off from Khabarovsk Airport.The crew reported that they were experiencing shaking and uncontrollable roll and yaw.,High Fatality
35,11/27/1962,3:40,"LIMA, PERU",VARIG,810,PORTO ALEGRE - LIMA,BOEING B-707-441,PP-VJB,17906/129,97,97,0,0,0,"After initiating an overshoot procedure, at the suggestion of the control tower, because it was too high, the aircraft proceded to start another approach when it crashed into La Cruz Peak. Possible misinterpretation of navigation instruments.",High Fatality
36,6/3/1963,10:16,"PACIFIOCEAN, 116 MILES WSW OF ANNETTE ISLAND, ALASKA",NORTHWEST ORIENT AIRLINES,293,MCCHORD AFB - ELMENDORF AFB,DOUGLAS DC-7CF,N290,45209/861,101,101,0,0,0,"The aircraft was being flown under contract to the military. While en route, the aircraft crashed into the sea.  The last known message was a request to ascend from 14,000 ft. to 18,000 ft. The last known position was 54 degrees 14 minutes N, 134 degrees 41 minutes W. Unable to determine the probable cause due to lack of evidence.",High Fatality
37,9/4/1963,6:22,"DURRENASCH, AARGAU, SWITZERLAND",SWISSAIR,306,ZURICH - GENEVA,SUD-AVIATION CARAVELLE III,HG-ICV,147,80,80,0,0,0,"Prior to departure from Zurich Airport, the pilot,, without authorization, taxied half way down the runway in order to clear fog. The aircraft then went back to the beginning of the runway and took off only to crash 10 minutes later, 15 miles WSW of Zurich. Braking done during the fog clearing procedure overheated the brakes which led to the wheel flange splitting and a burst tire which damaged a fuel line which caused a fire to start which ultimately led to the loss of control of the aircraft.",High Fatality
38,11/29/1963,18:33,"STE. THERESE DE BLAINVILLE, CANADA",TRANS CANADA AIR LINES,831,MONTREAL - TORONTO,MCDONNELL DOUGLAS DC-8F-54F,CF-TJN,45654/179,118,118,0,0,0,The aircraft crashed about 5 minutes after leaving Dorval Airport in Montreal. Icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the Pitch Trim Compensator.,High Fatality
39,12/8/1963,20:59,"ELKTON, MARYLAND",PAN AMERICAN WORLD AIRWAYS,214,WASHINGTON - BALTIMORE - PHILADELPHIA,BOEING B-707-121,N709PA,17588/3,81,81,0,0,0,"The airliner was on a flight from Baltimore to Philadelphia. The aircraft was in a holding pattern along with 5 other planes when the control tower received a Mayday message. The plane was seen going down in flames and crashed 10 miles southwest of New Castle, Delaware. The aircraft was struck by lightning.  Lightning induced ignition of fuel tank vapors. Within two weeks after the accident, the FAA ordered lightning discharge wicks to be installed on all commercial jet airliners. The aircraft was named Clipper Tradewind.",High Fatality
40,2/29/1964,14:14,"NEAR INNSBRUCK, AUSTRIA",BRITISH EAGLE INTERNATIONAL AIRLINES,802,LONDON - INNSBRUCK,BRISTOL BRITANNIA 312,G-AOVO,13423,83,83,0,0,0,"The aircraft crashed into Mt. Glungezer and then slid down a gorge, 10 miles ESE of the airport while in a holding pattern. The pilot descended below the minimum safe altitude in an apparent attempt to penetrate the overcast flying VFR in IFR conditions.",High Fatality
41,3/1/1964,11:29,"NEAR ZEPHYR COVE, NEVADA",PARADISE AIRLINES,901A,"SAN JOSE, CA - LAKE TAHOE",LOCKHEED 049 CONSTELLATION,N86504,2025,85,85,0,0,0,The aircraft crashed into Genoa Peak while attempting to land under VFR conditions after a missed approach and go-around. The captain's decision not to wait until the weather improved or divert to an alternate airport during adverse weather conditions. The pilot's deviation from prescribed VFR flight procedures in attempting a visual landing approach in adverse weather conditions. This resulted in an abandoned approach and geographical disorientation while flying below the minimum altitude prescribed or operations in mountainous areas. The aircraft was named City of Los Angeles.,High Fatality
42,5/11/1964,19:20,"PAPANGA, PHILIPPINES",MILITARY - U.S. AIR FORCE,Not Available,NOT AVAILABLE,BOEING C-135B,62-0332,Not Available,84,79,0,5,0.06,"While attempting to land at Clark Air Force Base, the aircraft contacted the perimeter fence, 3,500 ft. from the threshold of the runway, causing the plane to clip the tower and crash 300 ft. left of the runway center line.",High Fatality
43,9/2/1964,Not Available,"ISLAND OF SAKHALIN, RUSSIA",AEROFLOT,Not Available,KRASNOYARSK - YUZHNO,ILYUSHIN IL-18B,CCCP-75531,180002402,87,87,0,0,0,"After insisting on and getting a direct approach without completing a standard traffipattern, the airliner crashed into a wooded hillside. The controller lacked the radar with which to monitor the flight. Blame was placed on both the crew of the airliner and the ATC. Lack of radar facilities. Premature descent. Inexperience with the area and poor flight planning.",High Fatality
44,10/2/1964,5:45,"NEAR TREVELEZ, GRANADA, SPAIN",UNION DES TRANSPORTES AERIENS,Not Available,PALMA DE MALLORCA - PORT ETIENNE,DOUGLAS DC-6B,F-BHMS,44062/384,80,80,0,0,0,"About an hour and a half after departing Palma de Mallorca the airliner crashed into Mt. Alcazaba, 20 miles SSE of Granada. Cause unknown.",High Fatality
45,2/6/1965,8:36,"SAN JOSE VOLCANO, CHILE",LAN,107,SANTIAGO - BUENOS AIRES,DOUGLAS DC-6B,CC-CCG-104,45513/1004,87,87,0,0,0,"After an improper climb, the aircraft flew into a 12,000 ft. mountain in the La Melosas area of the Andes. Crew did not follow flight plan for climbing out of Santiago.",High Fatality
46,2/8/1965,18:26,"OFF JONES BEACH, NEW YORK, NEW YORK",EASTERN AIR LINES,663,NEW YORK CITY - RICHMOND VA,DOUGLAS DC-7B,N849D,45455/981,84,84,0,0,0,"The aircraft crashed shortly after taking off after taking evasive action to avoid  Pan American Flight 212, a  Boeing-707, that was planning to land. The aircraft were separated vertically by approximately 1,000 feet although this was not known to the  controllers involved. The EAL captain had the illusion that a potential collision course existed. As a result of this illusion, a descent was initiated. In this circumstance the DC-7 was placed in an unusual attitude, resulting in spatial disorientation of the crew. Placement of the two aircraft on a near head on course which prompted the EAL plane to make an evasive maneuver from which the pilots could not recover.",High Fatality
47,5/20/1965,23:48,"CAIRO, EGYPT",PAKISTAN INTERNATIONAL AIRLINES,705,KARACHI - DHAHRAN - CAIRO - GENEVA - LONDON,BOEING B-720-040B,AP-AMH,18379,125,119,0,6,0.048,The aircraft  crashed during its approach.The plane descended during the approach at triple the normal rate until the aircraft struck the ground. The aircraft exceeded the recommended descent rate during the final stages of landing for reasons unknown.,High Fatality
48,6/25/1965,1:46,"NEAR SANTA ANA, CALIFORNIA",MILITARY - U.S. AIR FORCE,Not Available,EL TORO -  HONOLULU - OKINAWA,BOEING C-135A,60-0373,18148,85,85,0,0,0,"Crashed shortly after taking off from El Toro Marine Corps Air Station bound for Okinawa. After attaining an altitude of 1,000 feet, the plane failed to make a left turn and flew into rising terrain. Cause unknown.",High Fatality
49,6/28/1965,13:10,"SAN FRANCISCO, CALIFORNIA",PAN AMERICAN WORLD AIRWAYS,Not Available,SAN FRANCISCO - HAWAII,BOEING B-707-321B,N761PA,18336,153,0,0,153,1,"Just after the aircraft took off from San Francisco International Airport, the No. 4 engine disintegrated tearing off 25 feet of the right wing. An emergency landing was safely made at Travis Air Force Base. A plane was dispatched to pick up the passengers at Travis Air Force Base. While attempting to land, and in plain view of the passengers, the nose gear collapsed. Improper turbine rotor positioning during engine assembly and the use of serviceable worn parts. The aircraft was named 'Clipper Friendship.'",Low Fatality
50,12/4/1965,16:18,"CARMEL, NEW YORK",TRANS WORLD AIRLINES / EASTERN AIR LINES,42 / 853,BOSTON - NEWARK,BOEING B-707-131B / L1049C CONSTELLATION,N748TW/N6218C,18387/286  / 4526,112,4,0,108,0.964,"Midair collision at 11,000 feet. Misjudgment of altitude separation by the crew of EAL 853 because of an optical illusion created by the up-slope effect of cloud tops resulting in an evasive maneuver by the EAL 853 crew and a reactionary evasive maneuver by  the TWA 42 crew. The 707 landed at JFK despite losing 25 feet of the left wing. There were no injuries to the crew of 7 and 51 passengers aboard the 707.  Three of the 46 passengers and 1 crew member aboard  EAL 853 were killed. Misjudgment of altitude separation by the crew of the Constellation because of an optical illusion created by the up-slope effect of cloud tops, resulting in an evasive maneuver by the Constellation crew and a reactionary evasive maneuver by the Boeing crew.",Low Fatality
51,12/11/1965,15:00,"NEAR TUY HOA, SOUTH VIETNAM",MILITARY - U.S. AIR FORCE,Not Available,PLEIKU - TUY HOA,FAIRCHILD C-123C,56-4376,20260,85,85,0,0,0,"While en route in poor weather, the plane struck trees on a mountain slope and then went into a flat spin, crashed and burned.",High Fatality
52,1/24/1966,8:02,"MONT BLANC, FRENCH ALPS, SWITZERLAND",AIR INDIA,101,BOMBAY - BEIRUT  - GENEVA - PARIS - LONDON -NEW YORK,BOEING B-707-437,VT-DMN,18055/200,117,117,0,0,0,"The aircraft was told to hold at 1,000 ft. above the clouds  before landing at Geneva  but descended below the minimum safe altitude and crashed into Mont Blanc. With a malfunctioning No. 2 VOR the crew thought they had already passed Mt. Blanc. Miscalculation by the crew on their position and the phraseology used by the controller in relay the aircraft's position. Hambi Bhabha, father of India's nuclear program killed. The aircraft was named Kanchenjunga.",High Fatality
53,2/4/1966,19:00,"TOKYO BAY, JAPAN",ALL NIPPON AIRWAYS,8302,CHITOSE - TOKYO,BOEING B-727-81,JA8302,18822/126,133,133,0,0,0,"The jetliner crashed about 7.5 miles ESE of Tokyo International (Haneda) Airport where it was scheduled to land. The aircraft was on VFR approach and was observed at a height of 2, 000 ft. just before the crash.  Cause undetermined. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected.",High Fatality
54,3/5/1966,14:15,"NEAR GOTEMBA CITY, MT. FUJI, JAPAN",BRITISH OVERSEAS AIRWAYS,911,TOKYO - HONG KONG,BOEING B-707-436,G-APFE,17706/113,124,124,0,0,0,The aircraft crashed into Mt. Fuji after encountering severe turbulence when the pilot decided to give the passengers a view of the mountain. The aircraft encountered severe clear air turbulence and started to come apart in the air before crashing.,High Fatality
55,4/22/1966,20:30,"NEAR ARDMORE, OKLAHOMA",AMERICAN FLYERS AIRLINE,280D,MONTEREY - ARDMORE,LOCKHEED 188C ELECTRA,N183H,1136,98,83,0,15,0.153,"The aircraft crashed into foothills during landing attempt at Ardmore Municipal Airport . During the approach in rain and fog, the captain made a last-minute change in his choice of runways. One minute later the plane crashed into high ground. Incapacitation of the captain with a heart attack during final stages of approach.  The captain, who suffered from a long standing heart condition and diabetes, managed to keep his pilot's license by falsifying his medical records.",High Fatality
56,9/1/1966,0:47,"NEAR LJUBLJANA, SLOVENIA, YUGOSLAVIA",BRITANNIA AIRWAYS,105,LUTON - LJUBLJANA,BRISTOL BRITANNIA 102,G-ANBB,12903,117,98,0,19,0.162,The plane crashed into forest during a landing attempt at Ljubljana Airport. The crew's failure to follow proper landing procedures. Improperly set altimeter. Captain failed to adjust his altimeter (he remained on QNH instead of changing to QFE) and the crew failed to cross-check altimeters.,High Fatality
57,11/24/1966,16:30,"NEAR BRATISLAVA, CZECHOSLOVAKIA",TRANSPORTNO AVIATSIONNO BULGARO-SOVIET OBSHCHESTVO,101,BRATISLAVA - PRAHA,ILYUSHIN IL-18B,LZ-BEN,184007101/356,82,82,0,0,0,"Following takeoff, the aircraft did not follow assigned route and crashed into wooded hillside. Insufficient evaluation of the weather conditions and relief of the terrain by the crew.",High Fatality
